"name";"color";"tone";"first_photo"
"ИКЖ-4-14";"зеленый";"болотно-зеленый";"https://star-tex.ru/media/items/6347891_Image.jpg"
"ИКЖ-4-15";"синий";"";"https://star-tex.ru/media/items/6347921_Image.jpg"
"ИКЖ-4-16";"молочный";"жемчужный";"https://star-tex.ru/media/items/6347898_Image.jpg"
"ИКЖ-4-2";"золотистый";"бледно-золотой";"https://star-tex.ru/media/items/4705050_Image.jpg"
"ИКЖ-4-3";"голубой";"нежно-голубой";"https://star-tex.ru/media/items/4705062_Image.jpg"
"ИКЖ-4-4";"черный";"";"https://star-tex.ru/media/items/4705066_Image.jpg"
"ИКЖ-4-5";"красный";"малиново-красный";"https://star-tex.ru/media/items/4705070_Image.jpg"
"ИКЖ-4-6";"коричневый";"бронзовый";"https://star-tex.ru/media/items/4705058_Image.jpg"
"ИКЖ-4-7";"зеленый";"нефритовый";"https://star-tex.ru/media/items/6347907_Image.jpg"
"ИКЖ-4-8";"мятный";"";"https://star-tex.ru/media/items/7951914_Image.jpg"
"ИКЖ-4-9";"серебристый";"";"https://star-tex.ru/media/items/6408091_Image.jpg"
"ИКЖ-6-1";"красный";"";"https://star-tex.ru/media/items/4805686_Image.jpg"
"ИКЖ-6-10";"белый";"";"https://star-tex.ru/media/items/koz01_JuwqjuL.jpg"
"ИКЖ-6-11";"серебристый";"";"https://star-tex.ru/media/items/5246607_Image.jpg"
"ИКЖ-6-12";"золотистый";"золотисто-песочный";"https://star-tex.ru/media/items/5246608_Image.jpg"
"ИКЖ-6-13";"золотистый";"белое золото";"https://star-tex.ru/media/items/5246605_Image.jpg"
"ИКЖ-6-14";"черный";"";"https://star-tex.ru/media/items/4805694_Image.jpg"
"ИКЖ-6-15";"оранжевый";"";"https://star-tex.ru/media/items/4805674_Image.jpg"
"ИКЖ-6-16";"желтый";"";"https://star-tex.ru/media/items/4805698_Image.jpg"
"ИКЖ-6-17";"синий";"васильковый";"https://star-tex.ru/media/items/4805682_Image.jpg"
"ИКЖ-6-18";"мятный";"";"https://star-tex.ru/media/items/4805706_Image.jpg"
"ИКЖ-6-19";"сиреневый";"пыльно-лиловый";"https://star-tex.ru/media/items/4805718_Image.jpg"
"ИКЖ-6-2";"красный";"";"https://star-tex.ru/media/items/7_OfdJU3E.jpg"
"ИКЖ-6-20";"зеленый";"";"https://star-tex.ru/media/items/11151253_Image.jpg"
"ИКЖ-6-21";"синий";"темно-синий";"https://star-tex.ru/media/items/4805702_Image.jpg"
"ИКЖ-6-22";"желтый";"горчичный";"https://star-tex.ru/media/items/4805722_Image.jpg"
"ИКЖ-6-3";"золотистый";"золотисто-бежевый";"https://star-tex.ru/media/items/4805728_Image.jpg"
"ИКЖ-6-4";"черный";"";"https://star-tex.ru/media/items/7055570_Image.jpg"
"ИКЖ-6-5";"красный";"";"https://star-tex.ru/media/items/4805714_Image.jpg"
"ИКЖ-6-6";"коричневый";"рыже-коричневый";"https://star-tex.ru/media/items/4805710_Image.jpg"
"ИКЖ-6-7";"коричневый";"";"https://star-tex.ru/media/items/4805678_Image.jpg"
"ИКЖ-6-8";"коричневый";"";"https://star-tex.ru/media/items/7055595_Image.jpg"
"ИКЖ-6-9";"молочный";"";"https://star-tex.ru/media/items/5246606_Image.jpg"
"ИКЖ-8-1";"черный";"";"https://star-tex.ru/media/items/6_PkEHt00.jpg"
"ИКЖ-8-11";"бежевый";"пудровый";"https://star-tex.ru/media/items/51_NYVKkzz.jpg"
"ИКЖ-8-13";"бордовый";"марсала";"https://star-tex.ru/media/items/26_KJX4GuY.jpg"
"ИКЖ-8-14";"синий";"темно-синий";"https://star-tex.ru/media/items/16_VEtIejH.jpg"
"ИКЖ-8-15";"красный";"";"https://star-tex.ru/media/items/13_Iv4Rrju.jpg"
"ИКЖ-8-16";"красный";"терракотовый";"https://star-tex.ru/media/items/18_pjm9zVI.jpg"
"ИКЖ-8-17";"бежевый";"светло-бежевый";"https://star-tex.ru/media/items/16795215_Image.jpg"
"ИКЖ-8-18";"желтый";"яркий горчичный";"https://star-tex.ru/media/items/16845355_Image.jpg"
"ИКЖ-8-19";"розовый";"розово-пудровый";"https://star-tex.ru/media/items/13958684_Image.jpg"
"ИКЖ-8-2";"зеленый";"темно-зеленый";"https://star-tex.ru/media/items/21_Xz4DEKe.jpg"
"ИКЖ-8-20";"красный";"ярко-красный";"https://star-tex.ru/media/items/16764848_Image.jpg"
"ИКЖ-8-21";"коричневый";"кофе с молоком";"https://star-tex.ru/media/items/11369129_Image.jpg"
"ИКЖ-8-22";"синий";"электрик";"https://star-tex.ru/media/items/11369088_Image.jpg"
"ИКЖ-8-23";"фиолетовый";"пурпурно-фиолетовый";"https://star-tex.ru/media/items/10_WuYMmJ6.jpg"
"ИКЖ-8-23";"розовый";"ягодный";"https://star-tex.ru/media/items/39_cmFKLNu.jpg"
"ИКЖ-8-24";"сиреневый";"пыльно-лиловый";"https://star-tex.ru/media/items/3_8Gt01Gs.jpg"
"ИКЖ-8-25";"розовый";"";"https://star-tex.ru/media/items/56_GiXDB8j.jpg"
"ИКЖ-8-26";"бежевый";"";"https://star-tex.ru/media/items/29_b67VD0p.jpg"
"ИКЖ-8-27";"серый";"";"https://star-tex.ru/media/items/31_DztjX59.jpg"
"ИКЖ-8-28";"коричневый";"";"https://star-tex.ru/media/items/3_oHXPO1Y.jpg"
"ИКЖ-8-29";"бежевый";"персиково-бежевый";"https://star-tex.ru/media/items/46_6z6ovcp.jpg"
"ИКЖ-8-30";"бордовый";"вишневый";"https://star-tex.ru/media/items/7_AkJNkmO.jpg"
"ИКЖ-8-31";"зеленый";"изумрудный";"https://star-tex.ru/media/items/12_8mvZSEz.jpg"
"ИКЖ-8-32";"синий";"джинсовый синий";"https://star-tex.ru/media/items/17_GhxaUyI.jpg"
"ИКЖ-8-33";"красный";"кирпичный";"https://star-tex.ru/media/items/22_QV2t9ZQ.jpg"
"ИКЖ-8-34";"хаки";"";"https://star-tex.ru/media/items/41_kLEtx5P.jpg"
"ИКЖ-8-35";"сиреневый";"темно-сиреневый";"https://star-tex.ru/media/items/11_OkNMlmx.jpg"
"ИКЖ-8-36";"сиреневый";"";"https://star-tex.ru/media/items/36_qIAPmlH.jpg"
"ИКЖ-8-4";"желтый";"горчичный";"https://star-tex.ru/media/items/8_LieqATr.jpg"
"ИКЖ-8-5";"бежевый";"песочный";"https://star-tex.ru/media/items/13958908_Image.jpg"
"ИКЖ-8-7";"белый";"";"https://star-tex.ru/media/items/11369104_Image.jpg"
"ИКЖ-8-8";"синий";"";"https://star-tex.ru/media/items/3_jTFd45m.jpg"
"ИКЖ-8-9";"голубой";"";"https://star-tex.ru/media/items/16764832_Image.jpg"
"ИКЖ-9-1";"черный";"";"https://star-tex.ru/media/items/10729211_Image.jpg"
"ИКЖ-9-10";"коричневый";"";"https://star-tex.ru/media/items/10729199_Image.jpg"
"ИКЖ-9-11";"красный";"терракотовый";"https://star-tex.ru/media/items/27_nv5a3MZ.jpg"
"ИКЖ-9-12";"красный";"";"https://star-tex.ru/media/items/31_4sR0ciW.jpg"
"ИКЖ-9-13";"розовый";"";"https://star-tex.ru/media/items/61_lOnzdTn.jpg"
"ИКЖ-9-14";"бежевый";"";"https://star-tex.ru/media/items/21_DD2uAxy.jpg"
"ИКЖ-9-15";"синий";"";"https://star-tex.ru/media/items/26_1AnpFdT.jpg"
"ИКЖ-9-16";"синий";"темно-синий";"https://star-tex.ru/media/items/10729205_Image.jpg"
"ИКЖ-9-17";"зеленый";"темно-зеленый";"https://star-tex.ru/media/items/41_O6Nl44q.jpg"
"ИКЖ-9-18";"желтый";"яркий горчичный";"https://star-tex.ru/media/items/16843457_Image.jpg"
"ИКЖ-9-19";"розовый";"розово-пудровый";"https://star-tex.ru/media/items/56_cvFIGYY.jpg"
"ИКЖ-9-2";"белый";"";"https://star-tex.ru/media/items/66_RwOUtaj.jpg"
"ИКЖ-9-20";"коричневый";"кофе с молоком";"https://star-tex.ru/media/items/11360446_Image.jpg"
"ИКЖ-9-21";"коричневый";"песочный";"https://star-tex.ru/media/items/36_dtpCHmp.jpg"
"ИКЖ-9-22";"бежевый";"светло-бежевый";"https://star-tex.ru/media/items/81_hKGQWcW.jpg"
"ИКЖ-9-3";"синий";"электрик";"https://star-tex.ru/media/items/11360427_Image.jpg"
"ИКЖ-9-4";"голубой";"";"https://star-tex.ru/media/items/51_p3D5gbK.jpg"
"ИКЖ-9-5";"красный";"ярко-красный";"https://star-tex.ru/media/items/76_pMWpzsy.jpg"
"ИКЖ-9-6";"бежевый";"пудровый";"https://star-tex.ru/media/items/46_TFL105i.jpg"
"ИКЖ-9-7";"желтый";"горчичный";"https://star-tex.ru/media/items/71_GjkSDlF.jpg"
"ИКЖ-9-8";"бордовый";"марсала";"https://star-tex.ru/media/items/16765090_Image.jpg"
"ИКЖ-9-9";"серый";"";"https://star-tex.ru/media/items/16803913_Image.jpg"
"КБ-1-1";"бежевый";"серо-бежевый";"https://star-tex.ru/media/items/24_iXgu8lP.jpg"
"КВ-10-1";"белый";"";"https://star-tex.ru/media/items/7_8Tbaw7N.jpg"
"КВ-1-1";"белый";"";"https://star-tex.ru/media/items/14691846_Image.jpg"
"КВ-2-1";"белый";"";"https://star-tex.ru/media/items/46_Tddm9rc.jpg"
"КВ-3-1";"белый";"";"https://star-tex.ru/media/items/42_II57EWl.jpg"
"КВ-4-1";"белый";"";"https://star-tex.ru/media/items/55_UTSdQeD.jpg"
"КВ-5-1";"белый";"";"https://star-tex.ru/media/items/13868515_Image.jpg"
"КВ-6-1";"белый";"";"https://star-tex.ru/media/items/10611899_Image.jpg"
"КГ-1-1";"красный";"";"https://star-tex.ru/media/items/1_CDMdSF0.jpg"
"КГ-1-10";"бирюзовый";"бирюзово-голубой";"https://star-tex.ru/media/items/28_nkJXDhd.jpg"
"КГ-1-11";"коричневый";"какао";"https://star-tex.ru/media/items/31_0dJx303.jpg"
"КГ-1-12";"серый";"";"https://star-tex.ru/media/items/34_3nazssL.jpg"
"КГ-1-13";"коричневый";"каштановый";"https://star-tex.ru/media/items/37_GEzxGNq.jpg"
"КГ-1-14";"серый";"серо-оливковый";"https://star-tex.ru/media/items/40_4Bq9e2i.jpg"
"КГ-1-15";"бежевый";"бежево-розовый";"https://star-tex.ru/media/items/43_gAb8yt7.jpg"
"КГ-1-16";"коричневый";"серо-коричневый";"https://star-tex.ru/media/items/1_hchf3kb.jpg"
"КГ-1-17";"розовый";"фуксия";"https://star-tex.ru/media/items/4_VIKTF8D.jpg"
"КГ-1-18";"фиолетовый";"";"https://star-tex.ru/media/items/7_W5U00Dn.jpg"
"КГ-1-19";"мятный";"";"https://star-tex.ru/media/items/10_okoRbn1.jpg"
"КГ-1-2";"синий";"электрик";"https://star-tex.ru/media/items/4_uhgg4oD.jpg"
"КГ-1-20";"коралловый";"";"https://star-tex.ru/media/items/13_7b8lXzp.jpg"
"КГ-1-21";"хаки";"дымчатый хаки";"https://star-tex.ru/media/items/16_jqXkPfr.jpg"
"КГ-1-22";"хаки";"";"https://star-tex.ru/media/items/19_K6twUcB.jpg"
"КГ-1-23";"голубой";"ярко-голубой";"https://star-tex.ru/media/items/22_EuESYsT.jpg"
"КГ-1-24";"розовый";"";"https://star-tex.ru/media/items/25_o6iJuON.jpg"
"КГ-1-25";"фиолетовый";"баклажановый";"https://star-tex.ru/media/items/31_9am7KJI.jpg"
"КГ-1-26";"коричневый";"";"https://star-tex.ru/media/items/34_BsKFnVx.jpg"
"КГ-1-27";"коричневый";"рыже-коричневый";"https://star-tex.ru/media/items/37_IUw1AP2.jpg"
"КГ-1-28";"серый";"светло-серый";"https://star-tex.ru/media/items/28_MZrb3No.jpg"
"КГ-1-3";"зеленый";"";"https://star-tex.ru/media/items/7_SK396k1.jpg"
"КГ-1-4";"желтый";"горчичный";"https://star-tex.ru/media/items/10_KGMxq9N.jpg"
"КГ-1-5";"серый";"серо-синий";"https://star-tex.ru/media/items/13_FzQzmuM.jpg"
"КГ-1-6";"серый";"графитовый";"https://star-tex.ru/media/items/16_N5FgZ4m.jpg"
"КГ-1-7";"синий";"темно-синий";"https://star-tex.ru/media/items/19_rVfurCC.jpg"
"КГ-1-8";"синий";"джинсовый";"https://star-tex.ru/media/items/22_wEsdLSv.jpg"
